id,amount,contentIDs
jusifs,96,"6747,6944,7284,21332,24827,25371,25845,26181,27937,29652,34455,35884,38141,38191,39445,39504,41880,42443,48428,49037,68467,69157,71447,72001,72200,75816,80409,81059,81155,86682,87746,92241,96348,96754,96835,96866,96892,110933,112442,112443,114365,114591,118244,118518,120051,121622,121825,131346,131450,146786,147640,147698,147895,148932,149176,149238,149384,149491,149573,149850,150251,150806,151182,151778,153529,153760,155122,155529,155636,156226,156356,157241,157644,159856,164114,164192,164641,165218,165231,165353,165412,165457,165472,165519,165701,165970,166055,166196,166209,166218,166219,166296,166545,166649,166702,167280"
gogoegg,96,"11647,15366,15367,16815,18329,18602,18941,19452,19615,19925,20337,20970,21166,21689,22636,22858,23332,28192,29470,29873,30656,31146,34187,34510,43125,44678,46952,48143,54021,58553,58807,59729,62840,63380,72027,72144,73273,74171,74280,74524,74588,74823,74924,77154,78070,79973,81326,81715,82267,84010,84448,84825,86045,89128,89613,89796,90745,92369,94680,95233,95305,95589,96082,96553,97043,97175,98212,101660,101974,102476,102477,102478,103218,104456,105890,106789,111374,113893,115780,116126,117269,122426,123689,123839,123894,124822,125220,139025,139390,139855,146386,147916,148732,160877,161108,163349"
Conpana,95,"1449,1450,1451,1452,15013,15014,15015,15016,20696,20697,20698,34066,34067,34735,34736,34737,34738,34739,38926,38927,39036,39037,39530,40013,40014,40015,41798,42165,42877,42878,48414,48415,48416,53323,54013,61714,61715,62640,62641,62642,62643,62644,62645,62646,62647,62648,62649,63895,63915,63916,64485,64486,64487,65673,65729,65730,65731,65732,66896,67127,67128,67530,67531,68147,68707,68890,72761,81224,81225,81226,81227,81228,85901,85902,85903,86044,104904,104905,107552,107553,107554,109952,111208,112463,114035,130416,131296,131297,131949,140798,152379,152932,152933,152934,165280"
blargelp,95,"3528,15898,15899,21804,21895,22249,22290,22291,22351,22749,23192,23436,23879,24063,29378,31067,31333,43669,50898,51649,52033,52110,52176,52245,52780,53179,56093,61395,68485,85043,85067,85082,85173,85215,85621,85670,85764,86003,86351,86449,86511,97162,97211,97301,97843,99762,100731,102565,103090,103191,103241,103590,103596,104473,104474,104557,107334,113532,123515,130647,132173,133684,134597,135130,137920,137921,138105,138324,138675,139445,139650,139803,139871,139875,140037,140283,140311,140429,140482,141579,145816,145817,154449,155076,157469,158635,161843,162063,162162,162163,162196,162381,163451,165130,167396"
sincocosin,95,"7466,9921,10237,10698,11384,14428,14942,15675,16475,17066,17092,18098,21801,23099,23829,26712,27283,27469,27679,28099,32090,32960,33023,33142,34642,36504,40272,40654,42209,42210,42428,42524,46624,49103,49381,49721,49811,51747,52654,55817,56463,57179,57447,58246,60897,68087,71869,74741,78515,79351,79436,84914,84938,85853,85953,86681,87302,89475,89564,91461,92266,95131,96360,96408,96872,97428,99262,107257,109057,109071,110041,110512,111009,111535,111830,111853,112490,116869,120809,123440,126882,127491,132284,136956,141750,141787,143667,156515,157155,160800,161600,162609,164930,166453,166982"
wowpoqwow,94,"397,1563,2777,5867,6006,6941,9791,10184,10391,12560,13014,14719,17500,17893,18846,20465,21233,21566,21567,21568,21569,25148,27705,28421,33196,34486,36106,45067,45112,45124,45250,48244,48804,51338,52219,53904,54102,55819,56714,57366,57512,57835,58283,58310,58387,58976,59228,59229,59956,60205,60290,60845,66502,66836,69115,70388,70945,70946,70947,71889,75208,79210,87579,88526,97276,101885,103695,104192,107857,112566,112567,120785,123814,123892,125159,136541,138783,140132,140333,140468,140923,141519,147581,148650,149680,149681,149682,149795,152643,152811,154451,155965,157471,166318"
nbarepeat,94,"2949,2970,3011,3860,5035,6480,6629,7242,7513,7961,7962,7992,8011,8079,9085,9225,14893,14954,14993,16614,16615,17109,20156,20616,20948,21071,21193,21194,21195,21196,21343,21344,21345,22558,23292,23851,24400,24902,25102,25304,26005,27534,27918,28070,29735,37931,38623,38824,48101,48102,48234,48539,48540,48701,49412,49466,49913,50112,50618,57008,58091,60771,73238,73239,73240,73241,73242,74847,75382,76697,78218,79182,79228,82558,87380,94433,94470,94651,94652,103852,123508,123556,126155,138518,141078,153931,153932,158984,158985,162479,162480,162647,165668,165815"
yor,94,"4278,5759,5900,8046,14578,15427,19544,19824,23412,46495,46496,46497,46498,46499,51464,54019,56142,56666,57313,59291,61213,62941,63319,64688,66233,70064,70065,75826,79380,79385,84815,86615,86616,87143,87341,87342,87474,88324,91420,93398,94397,97481,98064,101724,107989,108430,108431,108432,109625,109626,109627,109773,110557,110970,114460,115053,115218,115907,118149,119976,121938,122870,127670,129114,130069,131311,131645,134723,137477,137478,137645,137926,140120,142194,143684,149073,149215,149830,150273,150274,151452,156152,156394,156649,156650,156651,156652,156919,159925,159970,160816,162188,164379,164945"
Ogrish,94,"14325,16539,17053,17104,17829,24404,26025,26160,26707,27366,27723,27736,27761,33037,34534,35274,36110,36634,37678,37956,38087,38297,38915,40767,42223,43306,44348,48445,48462,48555,48825,48908,51769,51812,53915,54297,55944,56086,56528,56529,56743,57035,57107,58068,59553,59906,66930,67161,67361,67391,68331,72683,72689,72982,73204,73636,74551,77752,78250,78624,78683,79224,79403,79517,79723,89092,90461,90472,90651,92398,92662,92663,92791,94015,94281,94706,95702,96035,96288,102596,102597,103443,107015,107787,111502,113342,116560,117258,119053,119153,145901,157383,160064,167239"
s213092921,93,"469,9231,9232,9680,9681,10110,10968,11983,11984,13083,13344,14851,15248,16908,16909,17047,17554,18188,20107,20122,21133,21206,22430,22431,29534,34417,39623,42566,45847,45848,46409,46608,46616,46672,47002,55502,60677,61663,61686,63123,63606,63982,66651,66652,67098,68385,70654,70655,70656,74246,74670,74671,74672,74836,78266,80120,80121,80209,80671,80742,82441,87814,90222,92903,99270,107379,108089,108276,109892,110672,110673,110674,112533,113317,114700,114846,116618,116846,117957,117985,120168,120941,121727,123529,124866,124981,131348,134009,134046,134047,135221,161299,166658"
somehog,93,"4306,5275,5993,6601,7059,7075,7432,7618,7752,8060,10134,12001,13073,13247,13324,13542,18089,20456,20664,21063,22597,22622,22694,22896,23090,23108,23176,23223,23265,23297,23848,24397,24439,24440,24441,24442,24839,24869,24918,25085,25842,25871,27983,28371,28851,29475,38092,39465,39482,39636,39958,39979,40371,40485,40551,40665,40733,41883,42981,43026,43027,46081,46939,47056,47373,47961,48211,49549,49650,49679,50027,65863,66313,66828,79307,79609,79711,79758,81714,81842,82141,82434,82547,84183,84206,84481,84976,120903,142146,142264,143097,151158,163301"
gamaqqq,93,"5571,5948,6135,6703,7610,8971,9809,11409,13503,14485,18277,20204,31470,32015,32103,32920,32983,33698,33699,34072,34263,34849,34931,35000,35128,35385,35540,36622,53914,54371,54468,54565,55277,58166,58629,58867,59053,59864,59977,62908,63094,63402,63853,64270,64774,65022,65259,65330,65545,65671,65895,66053,66434,66909,83411,83772,84423,84522,84554,86569,97602,98288,98849,100385,102195,103182,105430,105687,111675,112123,128193,128440,129240,129456,130022,131144,132188,134207,134997,148024,148135,148136,148321,149146,149414,149468,149757,150093,150374,151706,152748,155665,167045"
tsubasawolfy,93,"10244,13683,13684,14238,18380,21100,21315,30703,32309,37195,37196,37704,38947,39377,40820,41253,43186,43187,43188,43189,44793,44794,46279,46280,46281,46282,46283,46284,46285,46286,46921,49666,51194,55413,56104,56213,59437,60586,63442,64045,64337,64793,64794,64929,65741,66668,67126,67486,68630,69456,69739,69740,70170,70846,71026,71941,72318,72319,72848,72849,73716,73717,74425,74426,74427,74428,76161,80185,88588,91016,91109,91438,94947,95320,97006,97297,98617,98958,98959,99496,99782,101531,101678,101679,101680,101681,101682,102025,103310,103311,104457,104458,104658"
rayisgreat,92,"19,20,336,1142,1270,1861,3045,3196,3197,3940,6010,6011,6012,6013,8817,13039,13946,13947,31985,32519,52239,54337,54766,55583,63264,63703,63704,63705,64552,64983,66399,67272,68445,68687,68807,81924,82905,89375,89376,94248,94249,106119,106202,106736,106737,107463,107878,107879,110795,110991,111801,111901,112143,126627,127364,129214,129215,129370,129943,129944,129945,129946,129947,129948,129949,129950,131697,133087,133088,133089,133090,134180,134958,135032,135033,135034,136036,148092,148304,149412,149707,149865,151187,151188,151823,151824,152698,154203,164276,166389,166390,166391"
